step,SoMS,toggle_rate,drift,current_allocation
1,0.11699999999999999,0.0685,0.03,C
2,0.306,0.1805,0.06,C
3,0.567,0.3485,0.09,C
4,0.8399999999999999,0.5225,0.12,C
5,1.1249999999999998,0.7024999999999999,0.15,C
6,1.4219999999999997,0.8884999999999998,0.18,C
7,1.7309999999999997,1.0804999999999998,0.21,C
8,2.0519999999999996,1.2784999999999997,0.24,C
9,2.385,1.4824999999999997,0.27,C
10,2.7299999999999995,1.5,0.30000000000000004,C
11,3.0869999999999997,1.5,0.33000000000000007,C
12,3.4559999999999995,1.5,0.3600000000000001,C
13,3.8369999999999997,1.5,0.3900000000000001,C
14,4.2299999999999995,1.5,0.42000000000000015,C
15,4.635,1.5,0.4500000000000002,C
16,5.052,1.5,0.4800000000000002,C
17,5.481,1.5,0.5100000000000002,C
18,5.922,1.5,0.5400000000000003,C
19,6.375,1.5,0.5700000000000003,C
20,6.84,1.5,0.6000000000000003,C
21,7.317,1.5,0.6300000000000003,C
22,7.806,1.5,0.6600000000000004,C
23,8.307,1.5,0.6900000000000004,C
24,8.82,1.5,0.7200000000000004,C
25,9.345,1.5,0.7500000000000004,C
26,9.882000000000001,1.5,0.7800000000000005,C
27,10.431000000000001,1.5,0.8100000000000005,C
28,10.992,1.5,0.8400000000000005,C
29,11.565000000000001,1.5,0.8700000000000006,C
30,12.150000000000002,1.5,0.9000000000000006,C
31,12.747000000000002,1.5,0.9300000000000006,C
32,13.356000000000002,1.5,0.9600000000000006,C
33,13.977000000000002,1.5,0.9900000000000007,C
34,14.610000000000003,1.5,1.0200000000000007,C
35,15.255000000000003,1.5,1.0500000000000007,C
36,15.912000000000003,1.5,1.0800000000000007,C
37,16.581000000000003,1.5,1.1100000000000008,C
38,17.262000000000004,1.5,1.1400000000000008,C
39,17.955000000000005,1.5,1.1700000000000008,C
40,18.660000000000007,1.5,1.2000000000000008,C
41,19.377000000000006,1.5,1.2300000000000009,C
42,20.106000000000005,1.5,1.260000000000001,C
43,20.847000000000005,1.5,1.290000000000001,C
44,21.600000000000005,1.5,1.320000000000001,C
45,22.365000000000006,1.5,1.350000000000001,C
46,23.142000000000007,1.5,1.380000000000001,C
47,23.931000000000008,1.5,1.410000000000001,C
48,24.73200000000001,1.5,1.440000000000001,C
49,25.54500000000001,1.5,1.470000000000001,C
50,26.370000000000008,1.5,1.500000000000001,C
