pseudo_mode,label_col,hazard_col,threshold,pos_rate,tp,fp,tn,fn,base_cost,stability_proxy,total_cost
A,pseudo_failure_A,hazard_rule,0.53,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.54,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.55,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.56,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.5700000000000001,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.58,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.59,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.6,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.61,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.62,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.63,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.64,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.65,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.66,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.67,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.68,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.6900000000000001,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.7000000000000001,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.71,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.72,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.73,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.74,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.75,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.76,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.77,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.78,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.79,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.8,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.81,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.8200000000000001,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.8300000000000001,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.84,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.85,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.86,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.87,0.3157894736842105,6,0,13,0,0.0,0.01,0.0475
A,pseudo_failure_A,hazard_rule,0.88,0.2631578947368421,5,0,13,1,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_rule,0.89,0.10526315789473684,2,0,13,4,20.0,0.01,20.0475
A,pseudo_failure_A,hazard_rule,0.9,0.05263157894736842,1,0,13,5,25.0,0.01,25.0475
A,pseudo_failure_A,hazard_rule,0.91,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,0.92,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,0.93,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,0.9400000000000001,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,0.9500000000000001,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,0.96,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,0.97,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,0.98,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,0.99,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_rule,1.0,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_logit,0.0,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_logit,0.01,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_logit,0.02,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_logit,0.03,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_logit,0.04,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_logit,0.05,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_logit,0.06,1.0,6,13,0,0,13.0,0.01,13.0475
A,pseudo_failure_A,hazard_logit,0.07,0.9473684210526315,6,12,1,0,12.0,0.01,12.0475
A,pseudo_failure_A,hazard_logit,0.08,0.9473684210526315,6,12,1,0,12.0,0.01,12.0475
A,pseudo_failure_A,hazard_logit,0.09,0.8947368421052632,6,11,2,0,11.0,0.01,11.0475
A,pseudo_failure_A,hazard_logit,0.1,0.8947368421052632,6,11,2,0,11.0,0.01,11.0475
A,pseudo_failure_A,hazard_logit,0.11,0.8947368421052632,6,11,2,0,11.0,0.01,11.0475
A,pseudo_failure_A,hazard_logit,0.12,0.8947368421052632,6,11,2,0,11.0,0.01,11.0475
A,pseudo_failure_A,hazard_logit,0.13,0.8421052631578947,6,10,3,0,10.0,0.01,10.0475
A,pseudo_failure_A,hazard_logit,0.14,0.8421052631578947,6,10,3,0,10.0,0.01,10.0475
A,pseudo_failure_A,hazard_logit,0.15,0.8421052631578947,6,10,3,0,10.0,0.01,10.0475
A,pseudo_failure_A,hazard_logit,0.16,0.7894736842105263,6,9,4,0,9.0,0.01,9.0475
A,pseudo_failure_A,hazard_logit,0.17,0.7894736842105263,6,9,4,0,9.0,0.01,9.0475
A,pseudo_failure_A,hazard_logit,0.18,0.7894736842105263,6,9,4,0,9.0,0.01,9.0475
A,pseudo_failure_A,hazard_logit,0.19,0.7368421052631579,6,8,5,0,8.0,0.01,8.0475
A,pseudo_failure_A,hazard_logit,0.2,0.7368421052631579,6,8,5,0,8.0,0.01,8.0475
A,pseudo_failure_A,hazard_logit,0.21,0.7368421052631579,6,8,5,0,8.0,0.01,8.0475
A,pseudo_failure_A,hazard_logit,0.22,0.7368421052631579,6,8,5,0,8.0,0.01,8.0475
A,pseudo_failure_A,hazard_logit,0.23,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.24,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.25,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.26,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.27,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.28,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.29,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.3,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.31,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.32,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.33,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.34,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.35000000000000003,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.36,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.37,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.38,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.39,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.4,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.41000000000000003,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.42,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.43,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.44,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.45,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.46,0.6842105263157895,6,7,6,0,7.0,0.01,7.0475
A,pseudo_failure_A,hazard_logit,0.47000000000000003,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_logit,0.48,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_logit,0.49,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_logit,0.5,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_logit,0.51,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_logit,0.52,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_logit,0.53,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_logit,0.54,0.631578947368421,6,6,7,0,6.0,0.01,6.0475
A,pseudo_failure_A,hazard_logit,0.55,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.56,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.5700000000000001,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.58,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.59,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.6,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.61,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.62,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.63,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.64,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.65,0.5789473684210527,6,5,8,0,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.66,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.67,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.68,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.6900000000000001,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.7000000000000001,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.71,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.72,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.73,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.74,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.75,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.76,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.77,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.78,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.79,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.8,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.81,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.8200000000000001,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.8300000000000001,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.84,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.85,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.86,0.5263157894736842,6,4,9,0,4.0,0.01,4.0475
A,pseudo_failure_A,hazard_logit,0.87,0.47368421052631576,6,3,10,0,3.0,0.01,3.0475
A,pseudo_failure_A,hazard_logit,0.88,0.42105263157894735,6,2,11,0,2.0,0.01,2.0475
A,pseudo_failure_A,hazard_logit,0.89,0.42105263157894735,6,2,11,0,2.0,0.01,2.0475
A,pseudo_failure_A,hazard_logit,0.9,0.42105263157894735,6,2,11,0,2.0,0.01,2.0475
A,pseudo_failure_A,hazard_logit,0.91,0.3684210526315789,6,1,12,0,1.0,0.01,1.0475
A,pseudo_failure_A,hazard_logit,0.92,0.3684210526315789,6,1,12,0,1.0,0.01,1.0475
A,pseudo_failure_A,hazard_logit,0.93,0.3684210526315789,6,1,12,0,1.0,0.01,1.0475
A,pseudo_failure_A,hazard_logit,0.9400000000000001,0.3684210526315789,6,1,12,0,1.0,0.01,1.0475
A,pseudo_failure_A,hazard_logit,0.9500000000000001,0.3684210526315789,6,1,12,0,1.0,0.01,1.0475
A,pseudo_failure_A,hazard_logit,0.96,0.2631578947368421,5,0,13,1,5.0,0.01,5.0475
