antibody_key,toggle_rate,num_bursts,mean_burst_length,max_burst_length,unnecessary_intervention_count,total_mutations
GDPa1-001,0.47368421052631576,5,1.8,3,4,9
GDPa1-045,0.3157894736842105,4,3.5,6,10,14
GDPa1-183,0.3684210526315789,4,1.5,3,2,6
