step,SoMS,toggle_rate,drift,current_allocation
1,0.11699999999999999,0.0685,0.03,183
2,0.141,0.0805,0.06,183
3,0.177,0.0985,0.09,183
4,0.22499999999999998,0.1225,0.12,183
5,0.285,0.1525,0.15,183
6,0.357,0.1885,0.18,183
7,0.441,0.2305,0.21,183
8,0.537,0.2785,0.24,183
9,0.645,0.3325,0.27,183
10,0.765,0.3925,0.30000000000000004,183
11,0.897,0.4585,0.33000000000000007,183
12,1.0410000000000001,0.5305000000000001,0.3600000000000001,183
13,1.1970000000000003,0.6085000000000002,0.3900000000000001,183
14,1.3650000000000004,0.6925000000000002,0.42000000000000015,183
15,1.5450000000000006,0.7825000000000003,0.4500000000000002,183
16,1.7370000000000008,0.8785000000000004,0.4800000000000002,183
17,1.941000000000001,0.9805000000000005,0.5100000000000002,183
18,2.157000000000001,1.0885000000000005,0.5400000000000003,183
19,2.385000000000001,1.2025000000000006,0.5700000000000003,183
20,2.6250000000000013,1.3225000000000007,0.6000000000000003,183
21,2.8770000000000016,1.4485000000000008,0.6300000000000003,183
22,3.141000000000002,1.5,0.6600000000000004,183
23,3.417000000000002,1.5,0.6900000000000004,183
24,3.7050000000000023,1.5,0.7200000000000004,183
25,4.005000000000003,1.5,0.7500000000000004,183
26,4.317000000000003,1.5,0.7800000000000005,183
27,4.641000000000003,1.5,0.8100000000000005,183
28,4.977000000000003,1.5,0.8400000000000005,183
29,5.325000000000003,1.5,0.8700000000000006,183
30,5.685000000000003,1.5,0.9000000000000006,183
31,6.057000000000003,1.5,0.9300000000000006,183
32,6.441000000000003,1.5,0.9600000000000006,183
33,6.837000000000003,1.5,0.9900000000000007,183
34,7.245000000000004,1.5,1.0200000000000007,183
35,7.665000000000004,1.5,1.0500000000000007,183
36,8.097000000000003,1.5,1.0800000000000007,183
37,8.541000000000004,1.5,1.1100000000000008,183
38,8.997000000000003,1.5,1.1400000000000008,183
39,9.465000000000003,1.5,1.1700000000000008,183
40,9.945000000000004,1.5,1.2000000000000008,183
41,10.437000000000005,1.5,1.2300000000000009,183
42,10.941000000000004,1.5,1.260000000000001,183
43,11.457000000000004,1.5,1.290000000000001,183
44,11.985000000000005,1.5,1.320000000000001,183
45,12.525000000000006,1.5,1.350000000000001,183
46,13.077000000000005,1.5,1.380000000000001,183
47,13.641000000000005,1.5,1.410000000000001,183
48,14.217000000000006,1.5,1.440000000000001,183
49,14.805000000000007,1.5,1.470000000000001,183
50,15.405000000000008,1.5,1.500000000000001,183
