run_id,case_id,antibody_id,step,blocked_rate_window_x,veto_streak_x,action_toggle_rate_x,SoMS_cumsum_window_x,recovery_time_est,pressure_index,soms_slope_5,toggle_rate_ma_5,blocked_rate_ma_5,soms_slope_10,toggle_rate_ma_10,blocked_rate_ma_10,toggle_over_th_streak_10,blocked_over_partialseal_streak_10,SoMS_cumsum_window_y,action_toggle_rate_y,blocked_rate_window_y,veto_streak_y,conflict_density_proxy,y_soms_runaway,y_osc_nonrecover,y_conflict_selfamp
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,26,0.0,0,0.0,14.8,,0.14800000000000002,1.1250000000000013,0.0,0.0,0.5242424242424248,0.0,0.0,0,0,14.8,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,27,0.0,0,0.0,16.25,,0.1625,1.3200000000000003,0.0,0.0,0.705454545454546,0.0,0.0,0,0,16.25,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,28,0.0,0,0.0,17.7,,0.177,1.4500000000000004,0.0,0.0,0.8945454545454548,0.0,0.0,0,0,17.7,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,29,0.0,0,0.0,19.15,,0.19149999999999998,1.4500000000000004,0.0,0.0,1.075757575757576,0.0,0.0,0,0,19.15,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,0,0.0,0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,1,0.0,0,0.0,0.6,,0.006,,,,,,,0,0,0.6,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,2,0.0,0,0.0,1.7999999999999998,,0.018,,,,,,,0,0,1.7999999999999998,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,3,0.0,0,0.0,2.9499999999999997,,0.0295,,,,,,,0,0,2.9499999999999997,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,4,0.0,0,0.0,4.699999999999999,,0.04699999999999999,1.1749999999999998,0.0,0.0,,,,0,0,4.699999999999999,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,5,0.0,0,0.0,6.3999999999999995,,0.064,1.4500000000000002,0.0,0.0,,,,0,0,6.3999999999999995,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,6,0.0,0,0.0,8.049999999999999,,0.08049999999999999,1.5949999999999998,0.0,0.0,,,,0,0,8.049999999999999,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,7,0.0,0,0.0,9.65,,0.0965,1.6750000000000005,0.0,0.0,,,,0,0,9.65,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,8,0.0,0,0.0,11.2,,0.11199999999999999,1.6250000000000002,0.0,0.0,,,,0,0,11.2,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,9,0.0,0,0.0,12.7,,0.127,1.575000000000001,0.0,0.0,1.4833333333333334,0.0,0.0,0,0,12.7,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,10,0.0,0,0.0,14.15,,0.14150000000000001,1.525,0.0,0.0,1.5515151515151515,0.0,0.0,0,0,14.15,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,11,0.0,0,0.0,14.95,,0.1495,1.3550000000000006,0.0,0.0,1.531818181818182,0.0,0.0,0,0,14.95,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,12,0.0,0,0.0,15.1,,0.151,1.0050000000000012,0.0,0.0,1.4263636363636367,0.0,0.0,0,0,15.1,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,13,0.0,0,0.0,15.25,,0.1525,0.6050000000000009,0.0,0.0,1.2445454545454546,0.0,0.0,0,0,15.25,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,14,0.0,0,0.0,15.4,,0.154,0.2800000000000004,0.0,0.0,1.0384848484848486,0.0,0.0,0,0,15.4,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,15,0.0,0,0.0,15.55,,0.1555,0.150000000000001,0.0,0.0,0.8242424242424246,0.0,0.0,0,0,15.55,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,16,0.0,0,0.0,15.7,,0.157,0.15000000000000158,0.0,0.0,0.6172727272727284,0.0,0.0,0,0,15.7,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,17,0.0,0,0.0,16.5,,0.165,0.2800000000000018,0.0,0.0,0.46787878787878917,0.0,0.0,0,0,16.5,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,18,0.0,0,0.0,17.3,,0.17300000000000001,0.4750000000000015,0.0,0.0,0.38242424242424367,0.0,0.0,0,0,17.3,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,19,0.0,0,0.0,18.1,,0.18100000000000002,0.6700000000000025,0.0,0.0,0.3666666666666673,0.0,0.0,0,0,18.1,0.0,0.0,0.0,0.0,0,0,0
