antibody_key,step,pred_score,rolling_mean_pred_score,rolling_std_pred_score,recent_mutation_count_k,cooldown_left,toggle_event,instability_risk
GDPa1-001,1,2.013942679845788,,,,0,1,0.925016276547001
GDPa1-001,2,1.966443755368055,,,,0,1,0.925016276547001
GDPa1-001,3,1.9439466872049669,1.974777707472937,0.0357344485714879,1.0,0,0,0.1658237980851218
GDPa1-001,4,1.916267761019849,1.9422194011976237,0.0251325533903976,0.0,0,0,0.48606207013107783
GDPa1-001,5,1.9399148824362504,1.9333764435536889,0.0149530640992429,1.0,0,1,0.6360680609923852
GDPa1-001,6,1.957584831178541,1.93792249154488,0.0207304676194871,2.0,0,0,0.37816748456327515
GDPa1-001,7,1.9968027879490255,1.9647675005212724,0.0291161725261559,3.0,0,0,0.1387989894796168
GDPa1-001,8,1.9554966712119677,1.9699614301131785,0.0232687337615417,2.0,0,1,0.3182152898404623
GDPa1-001,9,1.9476888531804943,1.966662770780496,0.0263923470307703,1.0,0,0,0.3457118583261153
GDPa1-001,10,1.9006685751243015,1.934618033172255,0.0296591433105457,0.0,0,0,0.3705616975107585
GDPa1-001,11,1.872532372604662,1.906963266969819,0.0379715880917425,0.0,0,0,0.19769583151598366
GDPa1-001,12,1.873067901414998,1.8820896163813208,0.0160920781366743,1.0,0,1,0.6076566500389322
GDPa1-001,13,1.8257214983833845,1.8571072574676817,0.027182183553754,1.0,0,1,0.32648430914343435
GDPa1-001,14,1.7956052634520494,1.831464887750144,0.0390493913026639,1.0,0,0,0.12270159089404925
GDPa1-001,15,1.8105937072300016,1.810640156355145,0.0150581711954337,1.0,0,1,0.6326027943897247
GDPa1-001,16,1.8150878552903236,1.807095608657458,0.0102014884405098,2.0,0,0,0.6457789870005849
GDPa1-001,17,1.7871319174943932,1.8042711600049064,0.015012147317186,2.0,0,1,0.5242096407640935
GDPa1-001,18,1.796058485881984,1.7994260862222335,0.0142789762781323,2.0,0,1,0.5432664822402635
GDPa1-001,19,1.8270015315497663,1.8033973116420476,0.0209234391026851,2.0,0,0,0.3724201745645081
GDPa1-001,20,1.777651407517573,1.8002371416497744,0.0249390167913197,2.0,0,1,0.280444106801731
GDPa1-045,1,4.030581925183281,,,,0,1,0.925016276547001
GDPa1-045,2,4.050395864682104,,,,0,0,0.925016276547001
GDPa1-045,3,4.034420916333903,4.0384662353997625,0.0105081637013423,2.0,0,1,0.6547602508739546
GDPa1-045,4,3.999968866315081,4.028261882443696,0.0257715116926123,1.0,0,0,0.3759409129790031
GDPa1-045,5,4.045690173535759,4.026693318728248,0.0238200820119932,1.0,0,1,0.4249202067327597
GDPa1-045,6,4.029349628047021,4.025002889299286,0.0231685149890465,1.0,0,1,0.44165151086065735
GDPa1-045,7,3.988624212385036,4.021221337989272,0.0293884808209122,1.0,0,0,0.29201311547481357
GDPa1-045,8,3.9482958500683822,3.9887565635001465,0.04052705107414,0.0,0,0,0.16777989129049314
GDPa1-045,9,3.983045286703128,3.973321783052182,0.0218518670649308,1.0,0,1,0.4754430455532363
GDPa1-045,10,3.9934178898398174,3.974919675537109,0.0236330020500962,2.0,0,0,0.3239266026488381
GDPa1-045,11,4.024130717167256,4.000197964570067,0.0213653974715317,3.0,0,0,0.2791420275883238
GDPa1-045,12,4.047103895836638,4.0215508342812365,0.02693582478321,3.0,0,0,0.1778338933012242
GDPa1-045,13,4.050726704982107,4.040653772662,0.0144235816872166,3.0,0,0,0.4450172316205416
GDPa1-045,14,4.0980382813800444,4.065289627399596,0.0284189538807154,3.0,0,0,0.15644399974297088
GDPa1-045,15,4.0858917191008794,4.07821890182101,0.0245713330747817,2.0,0,1,0.30350017036420657
GDPa1-045,16,4.091095782228202,4.091675260903043,0.0060939798531827,2.0,0,1,0.7509657371688427
GDPa1-045,17,4.124036248653502,4.1003412499941945,0.0206847840055512,2.0,0,0,0.39575825890619515
GDPa1-045,18,4.135888223889927,4.1170067515905435,0.0232088577750577,3.0,0,0,0.2427009003834474
GDPa1-045,19,4.1720589139210045,4.143994462154811,0.0250165429057121,3.0,0,0,0.20977655094414163
GDPa1-045,20,4.179794128446681,4.16258042208587,0.0234374373457836,3.0,0,0,0.2385961291393065
GDPa1-183,1,4.020457183621493,,,,0,1,0.925016276547001
GDPa1-183,2,3.975039621987059,,,,0,1,0.925016276547001
GDPa1-183,3,3.9478294495522137,3.9811087517202552,0.036692270177767,1.0,0,0,0.16091969788760863
GDPa1-183,4,3.926768245912424,3.949879105817232,0.0242008730242995,0.0,0,0,0.5265172052870376
GDPa1-183,5,3.884747443604787,3.9197817130231414,0.0321160956522978,0.0,0,0,0.3266704550128521
GDPa1-183,6,3.85802653224089,3.889847407252701,0.0346534705553754,0.0,0,0,0.270945602522516
GDPa1-183,7,3.818126675181863,3.8536335503425136,0.0335269356456079,0.0,0,0,0.294614264566973
GDPa1-183,8,3.795924035492873,3.824025747638542,0.0314687037780574,0.0,0,0,0.3410557760501195
GDPa1-183,9,3.809492479919312,3.807847730198016,0.0111923278867229,1.0,0,1,0.733434249080133
GDPa1-183,10,3.7959756978163206,3.800464071076168,0.0078188740831379,1.0,0,1,0.7965677680599507
GDPa1-183,11,3.782993794528009,3.796153990754547,0.0132502423806321,1.0,0,0,0.6891910432165871
GDPa1-183,12,3.7539444976051577,3.777637996649829,0.0215213585998051,0.0,0,0,0.5941399874692648
GDPa1-183,13,3.730642279810069,3.755860190647745,0.0262282802179329,0.0,0,0,0.47196313720062416
GDPa1-183,14,3.774307738581318,3.752964838665515,0.0218492075635272,1.0,0,1,0.4737494866102952
GDPa1-183,15,3.7891112771059774,3.7646870984991216,0.0303985764122322,2.0,0,0,0.189896604045374
GDPa1-183,16,3.800024377672676,3.787814464453324,0.0129072721297195,3.0,0,0,0.4824511127412355
GDPa1-183,17,3.767138242492486,3.785424632423713,0.0167501636867273,2.0,0,1,0.49464059033019436
GDPa1-183,18,3.790050922287521,3.785737847484228,0.016861981866504,2.0,0,1,0.49171765497680275
GDPa1-183,19,3.7563911716637137,3.77119344548124,0.017192388038721,1.0,0,1,0.5945760027939195
GDPa1-183,20,3.7443367158394785,3.763592936596905,0.0236927463880397,1.0,0,0,0.4261147577593966
